metabolite_ID	predicted_GCFs	max_jaccard	pep_mass	peak_count
132	CCMSLIB00000223876	['GCF584' 'GCF610' 'GCF584']	0.09	359.2413	2
133	CCMSLIB00000205127	['GCF589' 'GCF618' 'GCF229']	0.33	309.2048	2
134	CCMSLIB00004709009	['GCF594' 'GCF594' 'GCF594']	0.01	332.3315	3
135	CCMSLIB00004697437	['GCF1' 'GCF685' 'GCF1']	0.01	304.3003	2
136	CCMSLIB00004691046	['GCF578' 'GCF608' 'GCF601']	0.33	309.2042	0
137	CCMSLIB00000567466	['GCF533' 'GCF527' 'GCF342']	0.03	311.2552	2
138	CCMSLIB00000839187	['GCF584' 'GCF584' 'GCF584']	0.06	359.2404	2
139	CCMSLIB00000567314	['GCF104' 'GCF104' 'GCF104']	0.04	338.341	8
140	CCMSLIB00000569311	['GCF623' 'GCF590' 'GCF623']	0.5	348.4396	3
141	CCMSLIB00000222349	['GCF623' 'GCF590' 'GCF623']	0.5	333.3527	5
142	CCMSLIB00004721626	['GCF623' 'GCF590' 'GCF623']	0.5	520.2453	4
143	CCMSLIB00004681484	['GCF589' 'GCF584' 'GCF584']	0.33	563.3021	19
144	CCMSLIB00000216775	['GCF623' 'GCF590' 'GCF623']	0.1	635.5051	14
145	CCMSLIB00005436034	['GCF611' 'GCF539' 'GCF613']	0.01	651.3177	1
146	CCMSLIB00000071756	['GCF623' 'GCF590' 'GCF623']	0.5	645.7767	13
147	CCMSLIB00004689027	['GCF584' 'GCF631' 'GCF626']	0.25	828.5161	7
148	CCMSLIB00000223902	['GCF584' 'GCF589' 'GCF584']	0.21	621.3073	5
149	CCMSLIB00000574383	['GCF589' 'GCF623' 'GCF623']	0.6	361.2339	4
150	CCMSLIB00004688311	['GCF573' 'GCF573' 'GCF631']	0.04	333.2026	1
151	CCMSLIB00000085827	['GCF533' 'GCF552' 'GCF541']	0.2	335.2187	3
152	CCMSLIB00004721183	['GCF81' 'GCF81' 'GCF81']	0.18	311.2549	1
153	CCMSLIB00000216985	['GCF623' 'GCF590' 'GCF229']	0.5	359.2177	2
154	CCMSLIB00005435930	['GCF101' 'GCF550' 'GCF550']	0.04	441.3537	3
155	CCMSLIB00000565073	['GCF623' 'GCF590' 'GCF623']	0.5	359.218	4
156	CCMSLIB00004690947	['GCF623' 'GCF590' 'GCF623']	0.5	647.8021	3
157	CCMSLIB00004684926	['GCF582' 'GCF580' 'GCF585']	0.2	520.2435	0
158	CCMSLIB00000427297	['GCF254' 'GCF254' 'GCF254']	0.04	325.2701	0
159	CCMSLIB00004691324	['GCF589' 'GCF584' 'GCF584']	0.62	361.2343	3
160	CCMSLIB00004721395	['GCF527' 'GCF522' 'GCF628']	0.4	651.3167	4
161	CCMSLIB00004695630	['GCF584' 'GCF584' 'GCF584']	0.35	361.234	2
162	CCMSLIB00004690990	['GCF531' 'GCF632' 'GCF626']	0.01	563.3021	1
163	CCMSLIB00004691456	['GCF601' 'GCF606' 'GCF596']	0.33	337.2334	0
164	CCMSLIB00000207334	['GCF347' 'GCF347' 'GCF638']	0.12	311.2545	0
165	CCMSLIB00004695631	['GCF590' 'GCF591' 'GCF589']	0.29	361.2342	2
166	CCMSLIB00004691325	['GCF584' 'GCF589' 'GCF589']	0.02	635.3225	3
167	CCMSLIB00004721394	['GCF589' 'GCF589' 'GCF610']	0.4	333.2033	3
168	CCMSLIB00000573837	['GCF582' 'GCF580' 'GCF585']	0.25	392.3125	0
169	CCMSLIB00000219889	['GCF446' 'GCF446' 'GCF446']	0.1	355.2819	2
170	CCMSLIB00000078217	['GCF80' 'GCF80' 'GCF80']	0.12	399.3079	2
171	CCMSLIB00000221443	['GCF589' 'GCF618' 'GCF584']	0.25	791.3405	9
172	CCMSLIB00004690946	['GCF229' 'GCF168' 'GCF134']	0.0	789.3415	0
173	CCMSLIB00004721357	['GCF102' 'GCF101' 'GCF102']	0.08	685.4356	2
174	CCMSLIB00000215902	['GCF589' 'GCF591' 'GCF592']	0.01	685.436	3
175	CCMSLIB00004717356	['GCF589' 'GCF618' 'GCF618']	0.5	874.5524	4
176	CCMSLIB00000220588	['GCF584' 'GCF584' 'GCF584']	0.42	685.7663	3
177	CCMSLIB00004721182	['GCF589' 'GCF618' 'GCF618']	0.5	787.3693	11
178	CCMSLIB00000078773	['GCF584' 'GCF584' 'GCF584']	0.05	375.288	2
179	CCMSLIB00000213618	['GCF525' 'GCF530' 'GCF550']	0.06	331.1873	1
180	CCMSLIB00000071757	['GCF640' 'GCF617' 'GCF523']	0.08	253.0674	0
